entity,share_2020,share_2024_projected,forecast_2027,forecast_2028,forecast_2029,gdp_group,change_2020_to_2029,at_risk
Chad,77.79,76.49070342567438,75.54437389829633,75.22893072250365,74.91348754671095,low,-2.8765124532890525,True
Sierra Leone,75.44,75.15409548691588,74.94391290509024,74.8738520444817,74.80379118387314,low,-0.6362088161268531,True
Togo,76.21,75.04235934985587,74.21798177577358,73.94318925107947,73.66839672638538,low,-2.541603273614612,True
Congo,68.67,70.92962093690426,72.4655353312788,72.97750679607032,73.48947826086183,nan,4.819478260861828,False
Mali,76.64,74.91380191542814,73.65893136154142,73.24064117691252,72.8223509922836,low,-3.8176490077163976,True
Uruguay,60.76,65.87758181396477,69.59849186984731,70.83879522180816,72.079098573769,mid-high,11.319098573769004,False
Nepal,77.39,74.82965510139209,72.98735779468997,72.37325869245592,71.75915959022188,low,-5.630840409778116,True
Mozambique,78.08,75.05762001198366,72.89065102348692,72.16832802732134,71.44600503115576,low,-6.633994968844235,True
Bosnia and Herzegovina,37.02,51.82955565594086,62.88676282981767,66.57249855444329,70.25823427906889,mid-low,33.238234279068884,False
Norway,62.37,65.92793287609751,68.39914721482971,69.22288532774044,70.04662344065117,high,7.676623440651177,False
Eritrea,73.67,71.33774627515024,69.65660484834731,69.09622437274635,68.53584389714537,low,-5.134156102854632,True
Sudan,62.23,63.44242172769338,64.33011161342716,64.62600824200508,64.921904870583,low,2.6919048705830093,False
Malawi,73.02,69.3380873501732,66.66778340759163,65.77768209339777,64.8875807792039,low,-8.132419220796095,True
Eswatini,65.95,63.48643956971623,61.79709624691144,61.2339818059765,60.670867365041566,mid-low,-5.279132634958437,True
Guatemala,62.92,61.476311208190566,60.41631820182746,60.06298719970642,59.70965619758538,mid-low,-3.21034380241462,True
Kenya,68.08,63.752642080290556,60.57339736070442,59.51364912084237,58.45390088098033,low,-9.62609911901967,True
Sweden,52.88,54.73731379073538,56.08523066854021,56.53453629447516,56.9838419204101,high,4.1038419204100975,False
Guinea,65.44,61.520430633150426,58.62682896970896,57.66229508189514,56.69776119408131,low,-8.742238805918689,True
Rwanda,77.86,67.91917427662486,60.65843411471606,58.238187394079795,55.81794067344353,low,-22.04205932655647,True
Paraguay,60.09,56.69656991891915,55.03849229142629,54.48579974892866,53.933107206431046,mid-low,-6.156892793568957,True
Burkina Faso,64.85,59.3437565050754,55.31289280099659,53.969271566303654,52.62565033161072,low,-12.224349668389273,True
Brazil,47.57,49.69345420224859,51.218551525409524,51.726917299796504,52.235283074183485,mid-low,4.665283074183485,False
Finland,45.76,48.42816031671069,50.312022143796945,50.93997608615903,51.56793002852112,high,5.80793002852112,False
Nicaragua,50.71,50.69290027150581,50.674329883200265,50.66813975376508,50.6619496243299,low,-0.048050375670101175,True
Papua New Guinea,53.09,51.73912029662182,50.769908712271835,50.446838184155176,50.12376765603851,low,-2.9662323439614937,True
Solomon Islands,48.39,48.92523653596414,49.30568552575569,49.432501855686205,49.55931818561672,low,1.1693181856167172,False
Angola,54.69,51.62278540322464,49.368156674163316,48.616613764476206,47.865070854789096,low,-6.824929145210902,True
Denmark,37.52,42.31518317278514,45.60509429799856,46.70173133973637,47.79836838147418,high,10.278368381474174,False
Comoros,53.43,50.253163517638704,47.94517724200388,47.175848483458935,46.40651972491399,low,-7.023480275086008,True
Latvia,41.52,44.14033604319591,45.465323721388735,45.90698628078635,46.348648840183955,mid-low,4.828648840183952,False
Gambia,49.24,47.70121297735012,46.59514062343936,46.226449838802445,45.85775905416553,nan,-3.382240945834475,True
Benin,46.47,45.501115662526736,44.832069541742506,44.60905416814776,44.386038794553016,low,-2.0839612054469825,True
Cambodia,53.36,48.04424805950219,44.14691182892241,42.847799752062485,41.54868767520256,low,-11.811312324797441,True
Sri Lanka,49.91,46.14047918466699,43.3837004868562,42.4647742542526,41.54584802164901,low,-8.36415197835099,True
Myanmar,57.85,50.43409375798622,45.088239852367195,43.30628855049418,41.52433724862117,low,-16.32566275137883,True
Pakistan,43.36,42.124149064493956,41.22906710472641,40.93070645147057,40.63234579821472,low,-2.7276542017852776,True
Estonia,31.29,34.98076561878942,37.682298262418904,38.58280914362874,39.48332002483856,mid-low,8.193320024838563,False
Kiribati,41.03,39.01517498738518,37.546671998685596,37.0571710024524,36.56767000621921,low,-4.462329993780791,True
Lithuania,33.53,34.70423176696244,35.529407920355,35.80446663815252,36.07952535595004,mid-low,2.5495253559500384,False
Honduras,45.96,41.42474204849208,38.17599693464842,37.093081896700525,36.01016685875264,low,-9.94983314124736,True
Ghana,41.8,38.8004742451764,37.09094355367476,36.521099989840884,35.951256426007,low,-5.848743573992998,True
Costa Rica,35.76,35.07515289910865,34.59004887633718,34.42834753541335,34.26664619448953,mid-low,-1.4933538055104663,True
Lesotho,39.47,36.83926611463868,34.9166968246403,34.27584039464083,33.63498396464137,low,-5.835016035358628,True
Croatia,31.6,32.523730328673075,33.189182225486164,33.410999524423865,33.63281682336156,mid-high,2.032816823361557,False
Sao Tome and Principe,37.09,35.241817339085934,33.90265077095393,33.45626191490993,33.009873058865935,low,-4.080126941134068,True
India,32.93,32.9616422975496,32.988729911311324,32.99775911589857,33.00678832048581,low,0.07678832048581086,False
Kyrgyzstan,27.88,29.89117805502209,31.624444327757555,32.20219975200271,32.77995517624787,nan,4.899955176247868,False
Portugal,28.19,30.31388778019166,31.749454296442835,32.227976468526556,32.706498640610285,mid-high,4.516498640610283,False
Austria,33.77,33.219006357655736,32.82054268696951,32.687721463407435,32.55490023984536,high,-1.2150997601546436,True
Namibia,30.69,31.320565178185344,31.771013589070424,31.92116305936545,32.071312529660474,mid-low,1.3813125296604731,False
Montenegro,38.74,35.197385800756045,32.68069128739507,31.841793116274744,31.002894945154416,mid-high,-7.7371050548455855,True
Colombia,30.72,30.59962907929328,30.510349178951802,30.480589212171314,30.45082924539082,mid-low,-0.2691707546091777,True
Senegal,37.2,33.39631648657565,30.632138940139214,29.7107464246604,28.789353909181585,low,-8.410646090818418,True
Switzerland,24.76,26.477530851926026,27.698775055600308,28.105856456825066,28.512937858049828,high,3.752937858049826,False
Slovakia,17.64,22.198888668538814,25.558024049145224,26.677735842680693,27.797447636216162,nan,10.157447636216162,False
Samoa,34.21,31.164278529453302,28.94985766234704,28.211717373311615,27.473577084276194,mid-low,-6.736422915723807,True
Djibouti,27.92,27.626350691487012,27.416106472219923,27.34602506579756,27.275943659375198,low,-0.6440563406248039,True
New Zealand,29.65,28.419753709143414,27.520003100766097,27.220086231306993,26.920169361847886,mid-high,-2.7298306381521122,True
Thailand,23.96,25.010406558390734,25.766776045607816,26.01889920801351,26.271022370419207,mid-low,2.311022370419206,False
Peru,27.12,26.370898655146522,25.822460658787257,25.63964799333417,25.45683532788108,mid-low,-1.6631646721189206,True
Tajikistan,38.56,32.630876877642564,28.316154570501475,26.877913801454447,25.439673032407413,low,-13.12032696759259,True
Serbia,21.53,23.30562068387275,24.567458658732928,24.988071317019653,25.40868397530638,mid-high,3.87868397530638,False
Romania,23.54,23.71761420190801,23.85470575555424,23.900402940102982,23.946100124651725,mid-low,0.40610012465172574,False
South Sudan,26.65,25.552237078891775,24.31666735623907,23.9048107820215,23.492954207803933,mid-low,-3.1570457921960653,True
Bulgaria,19.34,21.227086240563203,22.538968620646404,22.976262747340805,23.413556874035205,mid-low,4.073556874035205,False
Botswana,25.57,24.592086767749468,23.881460470331618,23.644585037859,23.407709605386383,mid-low,-2.162290394613617,True
Ecuador,17.73,20.189131367837494,21.974408894861305,22.569501403869243,23.16459391287718,mid-low,5.43459391287718,False
Chile,25.26,24.16013656447322,23.361468607333226,23.095245954953228,22.82902330257323,mid-high,-2.4309766974267717,True
Philippines,26.73,24.89206932823217,23.57099913257621,23.13064240069089,22.690285668805565,low,-4.0397143311944355,True
